,mo_class,count_elem,index_process
1256,SCHEDULEDITEM,11116,0
1257,RUR,5,0
1258,OwnSignallingPoint,10,0
1259,PM,17,0
1260,PublishedRealmTable,6,0
1261,PERFORMANCE,1,0
1262,PrPriorityCalls,5,0
1263,NOTE,261,0
1264,MgcParameters,48,0
1265,IUSNR,1,0
1266,DiameterProfileTable,6,0
1267,CBM,4,0
1268,ECPRIMASTERSTATUS_R,21,0
1269,DFEDExFltngIPAddrAssgn,12,0
1270,ASSO,11926,0
1271,CallingPartyParametersOugoing,15,0
1272,CdpnFormattingSet,8,0
1273,DFEDSrvCmpntPrms,6,0
1274,StartingSubanaForExtPreanaLEPC,16,0
1275,SupportedPackages,12,0
1276,SSN,198,0
1277,SCTPSRTTReconfigThresholds,6,0
1278,RoutingZoneIndexEPC,5300,0
1279,TIAMSCOMMON,3,0
1280,RoutingInstance,113,0
1281,PrExplicitCallTransferParam,5,0
1282,OwnIpSmGwAddress,5,0
1283,SYNCI,17,0
1284,Monday,5,0
1285,MsrpTls,24,0
1286,PWRMOD_R,11414,0
1287,PASSDEV,146765,0
1288,IPIF,66765,0
1289,LOGLINK_R,93761,0
1290,BBPOOL,63166,0
1291,ETHER,2431,0
1292,CgpImsiIndicatorEPC,220,0
1293,HssServiceParameters,5,0
1294,AlarmThreshold,192,0
1295,APSYNC,132,0
1296,VoipDefaultEvsParameter,24,0
1297,SystemGeneric,24,0
1298,VoicePort,24,0
1299,Ss7StatisticsParameters,5,0
1300,S8hrEmerIdentListRecord,75,0
1301,TCONN,89,0
1302,SCALARS,1,0
1303,RESPTIMERS,55,0
1304,OfferAnswerValidation,12,0
1305,LOOPBACKREQ,1,0
1306,LicenseInfo,3,0
1307,MCFSYSTEM,4,0
1308,Ipv6NdpGeneral,24,0
1309,LAPD,98927,0
1310,ISBFP,62,0
1311,ETP,138,0
1312,EXTALMBOX_R,2244,0
1313,IFGDPR,51173,0
1314,AADDRCOfRouAASubAna,15,0
1315,CMP,14230,0
1316,HssConnection,5,0
1317,DIAMETERCOM,149,0
1318,HomeDomainTableRecord,6,0
1319,CSSN,168,0
1320,HDL,50,0
1321,CREL,102947,0
1322,GPBB,1,0
1323,IBCODECBWL,6,0
1324,FprMscServerParam,5,0
1325,HprEosAttributes,5,0
1326,APUCCH,3,0
1327,ToneGeneratorParameters,5,0
1328,VoipDefaultAmrGeneral,24,0
1329,Subsystem2,18,0
1330,SMOD_EXT_R,4416,0
1331,SMSFOTBL,8,0
1332,PrSystemFunctionConf,5,0
1333,PrReportForming,5,0
1334,Overload,24,0
1335,PPTT_R,37305,0
1336,MtpLevel2MisceParam,20,0
1337,ItfIpsec,24,0
1338,NRREL,1387,0
1339,MtpLevel3Parameters,5,0
1340,Ipv4FloodThreshold,192,0
1341,Ipv4FilterGeneral,24,0
1342,DigitRemovalPreFINRESEPC,959,0
1343,HprAuxParam,5,0
1344,GateH248ComptTCPIPConfig,48,0
1345,IBBWSPARETBL,8,0
1346,FephEnabledServicesTableRecord,12,0
1347,DIACON,17,0
1348,Hostname,44,0
1349,DestinationSignallingPoint,16,0
1350,GlobalTitleSubanalysis,2354,0
1351,BGCFPaniAccessInfoTableRecord,60,0
1352,AIMSIOfEOSAASubAna,45,0
1353,GTDM,17,0
1354,LNHOIF,200549,0
1355,SupportedDispatcherType,81,0
1356,TRACER,1224,0
1357,STIASTIMER,1,0
1358,SipFilterRecord,11,0
1359,SRSP,695,0
1360,SCOFFSESSION,2,0
1361,SignallingPointSccpOwnSignPoin,5,0
1362,SSTABLE,288,0
1363,PCMEDINACTDT,5,0
1364,RMOD,94667,0
1365,POWERGROUP,14,0
1366,PrCharging,5,0
1367,PDFSUPPORT,2,0
1368,NEFRAUDCHKTBL,1,0
1369,NWTMRS,12,0
1370,MNL,15013,0
1371,MtpLevel2TimerParameters,35,0
1372,PMCADM,15039,0
1373,MediaServerAttributes,3,0
1374,MRCANARES,10,0
1375,M3UAASTMR,7,0
1376,LinuxIpv4FloodThreshold,192,0
1377,LNA,1,0
1378,AnnouncementSubtypeMap,12,0
1379,IUR,1074,0
1380,IMSIA,23384,0
1381,AMGR,26922,0
1382,CdrFieldDoc,115,0
1383,CFRAME,2,0
1384,DigitAnalysisTreeOfRdDigANa,235,0
1385,IVIF,17886,0
1386,CdrStreamInformation,13,0
1387,AudioCodec,6,0
1388,APSYNC_R,132,0
1389,LNHOW,195063,0
1390,CdrFieldSmmt,165,0
1391,TypeOfServiceEntry,66,0
1392,ULCOMP,18903,0
1393,SecurityGatewayProfile,6,0
1394,SignallingLinkSignallingLinks,45,0
1395,SYNCO,1,0
1396,VoipDefaultParameter,24,0
1397,SIPLBS,60,0
1398,SLCMAP,27,0
1399,TRIGGER_R,2422,0
1400,SCCOPC,60,0
1401,SIPASC,1708,0
1402,STPORT,63300,0
1403,O2GLBL,204,0
1404,PCM,105513,0
1405,MTC,9,0
1406,LocationArea,5274,0
1407,MPVRSNGTBL,36,0
1408,IPBRADD,155,0
1409,FephFlowPolicyTable,6,0
1410,IMRNNR,1,0
1411,AREASN,17765,0
1412,BGCFPaniAccessTypeTable,6,0
1413,BGCFParameters,6,0
1414,CFEDSrvCmpntPrms,6,0
1415,GWH248AdvancedProvisioning,48,0
1416,HprRoutingAttributes,5,0
1417,APEQM,14224,0
1418,HprIwfControlParam,5,0
1419,CHANNEL,565459,0
1420,IMSHW,1,0
1421,BCSYSTEM,2,0
1422,IRFIM,201970,0
1423,ICSYSCONNECT,1,0
1424,BICC,4174986,0
1425,VLANPM,102,0
1426,XPIFREMOTE_R,147,0
1427,TOPB,789,0
1428,TAS,1,0
1429,ResultsOfNormalPreANA,82,0
1430,SERVICEENTRY,120,0
1431,RAEU_R,1,0
1432,NODE,51,0
1433,NodeStatus,239,0
1434,MSSelAASubAna,3,0
1435,MAL,99428,0
1436,LogPkgTable,3,0
1437,LCELL,67488,0
1438,M3UAASSLK,84,0
1439,LUP,9,0
1440,InformationForMessagesOfOutSig,45,0
1441,HprSystemFunctionConf,5,0
1442,CHASSIS,1,0
1443,FPMUX,11437,0
1444,ENCLOSURE,9,0
1445,EXUCE,47788,0
1446,CdrFilePurgeOptions,5,0
1447,CdrFieldRoam,315,0
1448,FEEHTTPPROXY,1,0
1449,H248GWParamValue,246,0
1450,INTERCONNECT,18,0
1451,ET,38430,0
1452,AlarmLimitThreshold,310,0
1453,APIEIF,134,0
1454,HCLRSTSRVR,1,0
1455,GSMEND,54,0
1456,LNADJW,413054,0
1457,RETUCALRES,9764,0
1458,SCCALLDROPTBL,34,0
1459,RIM,9234,0
1460,PINGREQ,3,0
1461,ResourceConfig,24,0
1462,PDFProfileTableRecord,6,0
1463,MEMORY,8,0
1464,MGWIC,8194,0
1465,MTPP,5,0
1466,LocalCCFConfiguration,6,0
1467,MediaNegotiationOptions,6,0
1468,LinuxIpv6FloodThreshold,192,0
1469,InTriggerSpecificData,83,0
1470,IPADDRESSV4,66827,0
1471,GVMGW,18,0
1472,CCHARGING,4,0
1473,BSC,250,0
1474,EAAR,16,0
1475,DTServiceList,6,0
1476,CAMELATBL,1503,0
1477,CdrFieldLocUpd,50,0
1478,DigitAdditionPreFINRESEPC,1089,0
1479,IDNS,12016,0
1480,INAASubAna,20,0
1481,FMCL,87,0
1482,CABLINK_R,123873,0
1483,VnfInfo,5,0
1484,SysSecurityInfo,3,0
1485,SYNCE,88,0
1486,SblpProfileTable,6,0
1487,THRESL,77112,0
1488,SipConfigEntry,60,0
1489,SCSYSTEM,4,0
1490,SFILE,38609,0
1491,RNAC,78,0
1492,S8hrMncListRecord,15,0
1493,POE,2,0
1494,RSL_R,55895,0
1495,SYSTEM,13,0
1496,SHELFMANAGER,2,0
1497,OVLOLRCONFIG,351,0
1498,O2RNK,1692,0
1499,ObservationCriteria,3,0
1500,NRCELL_FDD,217,0
1501,PrimaryRoutingInformation,3,0
1502,NodeInfo,3,0
1503,LNBTS_FDD,11827,0
1504,LTEENB,7,0
1505,InternalFloatingIPAddressAssi,6,0
1506,InFixedIPAddrAssignment,24,0
1507,IUPS,303,0
1508,IntervalFlush,5,0
1509,FephAggPolicyAssignTable,6,0
1510,DestinationList,3741,0
1511,GMGW,17,0
1512,ConfigDumpGroup,3,0
1513,CdrStreamFile,26000,0
1514,HprCallControl,5,0
1515,CFEDServiceTableRecord,6,0
1516,FullBackupRestoreInfo,3,0
1517,INAAAnaRes,15,0
1518,FORCEDLIST,7,0
1519,H248InFloatingIPAddrAssign,12,0
1520,ANRPRW,32227,0
1521,DFEDPortTableRecord,6,0
1522,SipTrustedRateLimitSetRecord,72,0
1523,SHELF,1,0
1524,RULES,2,0
1525,RANRCSIPRPROT,18,0
1526,TIMEDEVTBL,848,0
1527,NSVL,368,0
1528,OverloadH248,24,0
1529,Ipng,24,0
1530,CdrFieldPoc,315,0
1531,CdrServiceProfileTable,6,0
1532,CdrFileRingParameters,5,0
1533,CLOCK_FDD,10,0
1534,HomeDomainTable,6,0
1535,EATFOFFLINE,2,0
1536,CdrFileInformation,26000,0
1537,CBTYPEOfHomingAASubAna,5,0
1538,ComponentVersion,818,0
1539,TRX,54437,0
1540,TonAna,155,0
1541,VoiceAnnounDeviceParame,1925,0
1542,SWRESETRES,219,0
1543,ShutdownParameters,5,0
1544,SMS,9,0
1545,ResultOfAnalysisEPC,12850,0
1546,RAEU,1,0
1547,OMS,44,0
1548,PCAMRBWTBL,32,0
1549,NcUserEntry,3,0
1550,NRDSSLTE,217,0
1551,NcUserMgtGroup,3,0
1552,NetworkTerminationTypes,48,0
1553,LNKTMP,102,0
1554,M3UATMR,51,0
1555,IPASSIGNMENT,6,0
1556,IbcfSipDataDriOptTableRecord,18,0
1557,Ipv4Filter,24,0
1558,IPDPTPD,16,0
1559,BorderGWPublishRealmTable,6,0
1560,HSSCONF,1,0
1561,AtmSpecificParameters,5,0
1562,H248DSVariantRecord,36,0
1563,CRMINFO,90,0
1564,IQOS,938,0
1565,BBMOD,37049,0
1566,Ethernet,234,0
1567,CoreBearerRealmTableRecord,6,0
1568,CAIMLBP,2,0
1569,TRUSTEDIPADR,40,0
1570,ServiceAuthorizationParameters,10,0
1571,S8hrRoaPartProRecord,15,0
1572,RG,423,0
1573,ROU,6648,0
1574,PMCCP,11827,0
1575,PrOverload,5,0
1576,OutgoingParameterSet,15,0
1577,NRCUUP,123,0
1578,LoadSharingItem,12,0
1579,MTPTP,51,0
1580,IPQM,78,0
1581,ASIRMOD,3,0
1582,HeaderContentClir,10,0
1583,H248GWVariant,6,0
1584,ExtIntBindOfServiceProxy,10,0
1585,IMAG,8,0
1586,H248GWVariantRecord,246,0
1587,H248GlobalMg,24,0
1588,AclListEntry,1380,0
1589,CliFormattingSet,20,0
1590,ExternalBackupServer,1,0
1591,FeatureAllocation,433,0
1592,GENDOMCONF,13,0
1593,BGOFFLINE,4,0
1594,EATFSYSTEM,4,0
1595,IMHO,54,0
1596,LNADJL,3684854,0
1597,VCCT,11330,0
1598,VCTT,68,0
1599,SpecialdayDayClass,85,0
1600,TPSIS,4,0
1601,SshSrvListener,42,0
1602,TOPF,24751,0
1603,RoamNWTypeOfEPC,2,0
1604,TRENE,7190,0
1605,PrShortMessageService,5,0
1606,PFL,845,0
1607,PPTT,121801,0
1608,NumberModification,4,0
1609,OVERLOADHANDLING,5,0
1610,MPLANENW,14998,0
1611,LNKP,102,0
1612,InitialEventArming,25,0
1613,LCLAS,65,0
1614,ANR,11834,0
1615,CountryCodes,5,0
1616,GNCEL_R,3,0
1617,CdrFileStorageParameters,5,0
1618,CHANNELGROUP,2,0
1619,GatewayH248,48,0
1620,CAPPT,1519,0
1621,GTermAASubAna,10,0
1622,DNAT,755,0
1623,Friday,5,0
1624,ADSPMIN,430,0
1625,CliNumberModificationEPC,46,0
1626,ANTSET,4103,0
1627,ANNP,278,0
1628,BTS,16809,0
1629,CellBasedLocation,555820,0
1630,ZSONPR,13,0
1631,SupportedVendorIdList,20,0
1632,SccpSignaPointParamSet,20,0
1633,SmsRelatCdrGenerParam,5,0
1634,SDPPCodecBandwidth,54,0
1635,SIPMPTY,1,0
1636,RMTAS,171,0
1637,PREA,3745,0
1638,PTRCODAUDCDC,16,0
1639,PrCamelParam,5,0
1640,ORREQ,5,0
1641,RETUCALREQ,11205,0
1642,SAF,1,0
1643,NTP,11850,0
1644,LLOCK,38,0
1645,IUAP,5,0
1646,MGWP,545,0
1647,IPRT,448,0
1648,LCELC,22658,0
1649,Ipv4AddressList,128,0
1650,IUPSIP,782,0
1651,Gateway,48,0
1652,IPSERPORTS,1,0
1653,FprAuxParam,5,0
1654,FeatureList,440,0
1655,DigitRemovalCdpnFormatSet,4,0
1656,HLRENQ,798,0
1657,CBAODC,9745,0
1658,CATMPR,11201,0
1659,BOND,2116,0
1660,TargetAddress,24,0
1661,VoipDefaultRtcp,24,0
1662,SignallingPointRestartTimers,35,0
1663,ServiceSet,42,0
1664,SCOFFEVENT,2,0
1665,RouAAAnaRes,165,0
1666,MRBTS,27013,0
1667,LLB,2,0
1668,LMMEM,487,0
1669,M3UAASRSET,21,0
1670,IPVC,13,0
1671,ChaCaseOfDigAna,10,0
1672,AggregateSourceAddressPolicy,6,0
1673,HprCamelParam,5,0
1674,GNSSI,402,0
1675,H248DSVariant,6,0
1676,IMSLBTIMER,7,0
1677,CdrStreamState,13,0
1678,DFEDPlInfo,6,0
1679,ICOFFEVENT,2,0
1680,ADJI,474302,0
1681,VBTS,73,0
1682,VoipDefaultPacketTime,24,0
1683,VideoConfigEntry,60,0
1684,SRVRES,18,0
1685,SESSNIDDISP,2,0
1686,SL,1564,0
1687,SyslogConfig,24,0
1688,RSL,39845,0
1689,ReservationPriorityMapping,6,0
1690,PWNE,464,0
1691,SAD,1,0
1692,NGSSSIPia,120,0
1693,NTHLRFECOMMON,4,0
1694,MAPHSS,21,0
1695,IPSD,1,0
1696,InternationalToNational,10,0
1697,Ipngnud,24,0
1698,IPSECC,21861,0
1699,DnsLinuxConfiguration,24,0
1700,FephAggPacketPolicyTableRecord,12,0
1701,CFEDPortTableRecord,6,0
1702,GEN,99,0
1703,H248DSParamValue,36,0
1704,IMSDeviceServer,120,0
1705,APTOPF,132,0
1706,ANTL,443307,0
1707,VoipDefaultOpusParameter,24,0
1708,Upd,5,0
1709,Subsystem1,26,0
1710,SCTPIPADDR,14,0
1711,TRACEL,77112,0
1712,SMSROA,52,0
1713,SIP,59437,0
1714,RedundancyGroup,330,0
1715,Rmgr,24,0
1716,PRFC,3795,0
1717,RDRCONFIGDATA,5,0
1718,PCPDFTIMER,2,0
1719,PrSiemensInap,5,0
1720,PMTNL,15025,0
1721,RNRLC,78,0
1722,MGWE,442,0
1723,PNAPTRRegionTableRecord,11,0
1724,MgmtActivityLogInfo,3,0
1725,NextHopStaticRouteIpv4,225,0
1726,MRF,3,0
1727,IPBRS,45,0
1728,HSVSERVCSD,1,0
1729,DTGlobalProfile,6,0
1730,APTAC,134,0
1731,IBTSS,309,0
1732,BCF,6926,0
1733,HOPI,2477,0
1734,BFDS,4992,0
1735,DIACOMMON,17,0
1736,TIMER,1,0
1737,TIME,15039,0
1738,SblpProfileTableRecord,6,0
1739,SRT6,8,0
1740,SMOD_EXT,3892,0
1741,RouAASubAna,10,0
1742,SignallingPointElement,20,0
1743,PrIwfControlParam,5,0
1744,SLP,869,0
1745,NBIOT_FDD,3,0
1746,MtpLevel3Timers,40,0
1747,NGSSParameters,6,0
1748,MtpLevel3MisceParam,25,0
1749,LocalTerminationTypes,48,0
1750,MODPR,8,0
1751,IPSMSGW,1,0
1752,Ipv6FloodThreshold,144,0
1753,ImsiRange,20,0
1754,EATFSESSION,2,0
1755,ChargingFormatFile,5,0
1756,CPIProfileRecord,96,0
1757,BATBKP,2384,0
1758,Ipv4Interface,282,0
1759,AnaRes,1914,0
1760,HBC,4,0
1761,CommParaOfAllSignPoin,35,0
1762,CAGENB,10893,0
1763,FEESYSTEM,2,0
1764,HealthCheckOptions,3,0
1765,ANNF,105,0
1766,GTROU,17,0
1767,FephRemoteIpPolicyTableRecord,6,0
1768,IFGPR,51169,0
1769,GTPU,8081,0
1770,DISPCONFIG,4,0
1771,DSCP2QMAP,14171,0
1772,DAP,5641,0
1773,HBRRULEEXECUTIONORDER,11,0
1774,UFRES,1394,0
1775,TWAMPS,2,0
1776,STMSYSTEM,1,0
1777,TOPP_R,59,0
1778,RNW,55,0
1779,PHONENUMTAB,44,0
1780,NetworkCode,45,0
1781,NMSYSCONNECT,1,0
1782,NRBTS,124,0
1783,NAT,770,0
1784,M3UARSET,132,0
1785,MapVersions,560,0
1786,LNMME,118137,0
1787,ItfIpsecTunnel,24,0
1788,ETHIF_R,45627,0
1789,CommoH248LoadBalanParam,5,0
1790,AssociationSet,10,0
1791,BEDSAMAPTBL,66,0
1792,BSSAP,2700,0
1793,DiameterConnectionStatus,20,0
1794,ACCP,712,0
1795,BRGPRT,31159,0
1796,FRONTBLADE,8,0
1797,TDPOfHomingAASubAna,10,0
1798,SystemRealmVmgMapping,144,0
1799,THRESM,1224,0
1800,SmdPortTableRec,23,0
1801,STIVSSYSTEM,4,0
1802,SCCPS,9228,0
1803,RoutineReconfigurationPattern,6,0
1804,SftpConfig,24,0
1805,NRDRB_RLC_AM,202,0
1806,MgwListElement,72,0
1807,NMOD,33319,0
1808,MTPOPC,161,0
1809,LAA,13,0
1810,LNSENB,13,0
1811,KeyType,23,0
1812,IPNO,35467,0
1813,IpRealm,24,0
1814,EmergencyURIListRecord,128,0
1815,IMSAKAALGS,6,0
1816,HprShortMessageService,5,0
1817,HprAifAttributes,5,0
1818,DiameterDestIdenOCS,25,0
1819,ASIANTL_R,12,0
1820,CSPC,166,0
1821,IMSDeviceSerConfig,120,0
1822,HprCompletionOfCall,5,0
1823,AOIPNR,1,0
1824,DISCOVERY,132,0
1825,TimeControlledRoutingGroupList,5,0
1826,UFFIM,68366,0
1827,SupplementaryServiceHandling,5,0
1828,SshServer,42,0
1829,SubscriberAndEquipmentRec,22,0
1830,SignallingRouteSetData,15,0
1831,RoamCallRelaCdrGenePara,5,0
1832,RFREQ,115,0
1833,PEER,2,0
1834,OMGW,20,0
1835,PCC,25,0
1836,NeIntegrationData,2,0
1837,NRDRB_5QI,505,0
1838,MPUCCH,4,0
1839,NRPMRNL,123,0
1840,McmCoac,24,0
1841,CPIRecord,1158,0
1842,COCO,290,0
1843,HSVWHITELST,672,0
1844,IPDYNROUT,257,0
1845,CommissionedShelfEntry,66,0
1846,AFW,19,0
1847,IDSP,147,0
1848,HeartbeatAlarmParameters,5,0
1849,DSCPProfileTableRecord,6,0
1850,CFEDSrvPlInfo,6,0
1851,HttpServWebui,5,0
1852,CalledParty,320,0
1853,HOPS,3010,0
1854,GMLCTABLE,4,0
1855,DIPBRS,17,0
1856,CAPR,138597,0
1857,BTSM,57021,0
1858,LNBTS,11847,0
